"","Year","Species","DetFun","Key","Adjust","Covar","Label","N","n_se","n_cv","n_lcl","n_ucl","D","d_se","d_cv","d_lcl","d_ucl"
"1","2010","BTG","pooled","Uni","SimPoly","NA","Grp",44.984748689429,36.274245095841,0.806367627977104,10.7853791506731,187.626933312288,0.0239280578135261,0.019294811221192,0.806367627977104,0.00573690380354954,0.0998015602724935
"2","2011","BTG","pooled","Uni","SimPoly","NA","Grp",36.4488614727368,20.7411585171081,0.569048186391835,12.553760870611,105.826414598106,0.0193876922727324,0.0110325311261213,0.569048186391835,0.00667753237798456,0.0562906460628225
"3","2013","BTG","pooled","Uni","SimPoly","NA","Grp",0,0,0,0,0,0,0,0,0,0
"4","2014","BTG","pooled","Uni","SimPoly","NA","Grp",111.390806278586,44.524922268217,0.399718107407006,51.4693545020807,241.073777657186,0.0592504288715884,0.0236834692916048,0.399718107407006,0.027377316224511,0.128230732796376
"5","2016","BTG","pooled","Uni","SimPoly","NA","Grp",42.3088070471318,24.9732176392443,0.590260500879268,14.0738885491398,127.188384894581,0.0225046845995382,0.0132836264038534,0.590260500879268,0.00748611093039352,0.0676533962205218
"6","2018","BTG","pooled","Uni","SimPoly","NA","Grp",14.0577339654466,14.30229993429,1.01739725402718,2.56081999070511,77.1705488712843,0.0074775180667269,0.0076076063480266,1.01739725402718,0.00136213829292825,0.0410481642932363
"7","2020","BTG","pooled","Uni","SimPoly","NA","Grp",0,0,0,0,0,0,0,0,0,0
"8","2010","BTG","pooled","Uni","SimPoly","NA","Ind",382.370363860147,367.047003822255,0.959925345983414,74.7572060652579,1955.75922180548,0.203388491414972,0.195237767990561,0.959925345983414,0.0397644713113074,1.04029745840717
"9","2011","BTG","pooled","Uni","SimPoly","NA","Ind",121.496204909123,98.6350906916746,0.811836804001015,28.9071706735337,510.645886933322,0.0646256409091078,0.0524654737721674,0.811836804001015,0.0153761546135818,0.271620152624108
"10","2013","BTG","pooled","Uni","SimPoly","NA","Ind",0,0,0,0,0,0,0,0,0,0
"11","2014","BTG","pooled","Uni","SimPoly","NA","Ind",167.086209417879,74.3276534409907,0.444846128833402,71.2001144397628,392.103321705397,0.0888756433073826,0.0395359858728674,0.444846128833402,0.0378724012977462,0.208565596651807
"12","2016","BTG","pooled","Uni","SimPoly","NA","Ind",112.823485459018,89.3144064870772,0.791629562973568,27.6185500832921,460.890916892187,0.0600124922654352,0.0475076630250411,0.791629562973568,0.0146907181294107,0.245154743027759
"13","2018","BTG","pooled","Uni","SimPoly","NA","Ind",14.0577339654466,14.30229993429,1.01739725402718,2.56081999070511,77.1705488712843,0.0074775180667269,0.0076076063480266,1.01739725402718,0.00136213829292825,0.0410481642932363
"14","2020","BTG","pooled","Uni","SimPoly","NA","Ind",0,0,0,0,0,0,0,0,0,0
